html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),label
0,17,0,0,48,1,1,1,7,0,28,3,0,1,0,0,malicious
0,4,0,0,2,1,1,0,0,0,1,0,0,0,0,0,malicious
0,166,0,0,283,1,1,0,10,0,98,2,0,2,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,6,0,0,50,1,1,1,6,0,11,7,0,3,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,6,0,0,27,1,1,1,3,0,0,2,0,3,0,0,malicious
0,2,0,0,47,1,1,1,9,0,4,3,0,11,0,0,malicious
1,7,0,0,42,1,1,2,4,0,0,23,0,1,0,0,malicious
0,1,0,0,15,1,1,1,7,0,2,5,0,6,0,0,malicious
0,23,0,0,103,1,1,9,163,0,24,27,0,21,0,0,malicious
0,0,0,0,18,1,1,1,6,0,0,4,0,1,0,0,malicious
0,55,0,0,37,1,1,1,7,0,2,10,0,4,0,0,malicious
0,3,0,0,32,1,1,1,9,0,3,18,0,1,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,7,0,0,71,1,1,2,4,0,1,6,0,16,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,3,0,0,13,1,1,0,2,0,3,1,0,1,0,0,malicious
6,74,0,0,908,1,1,1,296,0,33,2,0,81,0,0,malicious
0,3,0,0,13,1,1,0,2,0,3,1,0,1,0,0,malicious
0,26,0,0,134,1,1,9,164,0,37,27,0,25,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,21,0,0,80,1,1,1,15,0,15,15,0,1,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,7,0,0,56,1,1,2,10,0,5,8,0,3,0,0,malicious
0,6,0,0,53,1,1,2,8,0,4,8,0,2,0,0,malicious
0,1,0,0,286,1,1,1,91,0,15,1,0,29,0,0,malicious
0,7,0,0,12,1,1,0,5,0,0,0,0,3,0,0,malicious
1,15,0,0,21,1,1,1,5,0,0,10,0,3,0,0,malicious
0,3,0,0,149,1,1,1,124,0,70,13,0,20,0,0,malicious
0,6,0,0,49,1,1,1,22,0,0,4,0,2,0,0,malicious
0,5,0,0,33,1,1,1,5,0,13,7,0,4,0,0,malicious
0,0,0,0,18,1,1,1,6,0,0,4,0,1,0,0,malicious
0,3,0,0,145,1,1,19,84,0,15,49,0,18,0,0,malicious
0,6,0,0,70,1,1,2,2,0,1,6,0,21,1,1,malicious
0,4,0,0,11,1,1,1,1,0,0,3,0,3,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,malicious
0,8,0,0,38,1,1,0,2,0,0,0,0,7,1,0,malicious
0,6,0,0,17,1,1,0,3,0,1,0,0,1,0,0,malicious
0,1,0,0,45,1,1,0,4,0,1,0,0,5,0,0,malicious
0,0,0,0,18,1,1,1,6,0,0,4,0,1,0,0,malicious
0,26,0,0,134,1,1,9,164,0,37,27,0,25,0,0,malicious
0,6,0,0,10,1,1,1,0,0,3,4,0,7,0,0,malicious
0,22,0,0,83,1,2,1,24,0,9,20,0,47,0,0,malicious
0,3,0,0,149,1,1,1,124,0,70,13,0,20,0,0,malicious
2,62,0,0,118,1,1,3,18,1,9,16,0,20,0,0,malicious
