url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
58,0,3,27,26,10,7.0,23,23,3,0,0,3,3,0,0,0,0,0,0,0,4.415761331476804,28,5,0,80,1,0,1,0,1,0,1,0,0,0,0,0,1,17,0,0,80,1,1,0,193,0,59,0,0,9,0,0,benign
46,1,3,18,0,13,6.333333333333333,21,21,2,0,0,5,3,0,0,0,0,0,0,0,4.134990152123812,25,2,0,80,0,0,1,0,0,0,1,0,0,1,0,0,0,50,0,0,144,1,1,5,126,1,53,17,0,15,0,0,benign
126,0,3,105,1,5,3.6666666666666665,13,13,2,8,0,8,0,0,0,0,0,0,0,0,4.464066988780419,59,9,0,80,1,0,1,0,2,0,1,0,0,1,0,0,4,12,0,0,42,1,1,1,77,0,36,1,0,4,0,0,benign
65,0,3,47,0,3,2.6666666666666665,10,10,2,0,0,6,3,0,0,0,0,0,0,0,4.323850459276024,32,0,0,80,1,0,1,0,1,0,1,0,0,0,0,0,2,21,0,0,80,1,1,1,126,0,31,12,0,12,0,0,benign
23,0,3,1,0,5,4.0,14,14,2,0,0,3,0,0,0,0,0,0,0,0,3.8164027166443866,12,0,0,80,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,29,1,1,0,5,0,0,2,0,1,0,0,benign
59,0,3,34,0,11,5.0,17,17,2,0,0,4,4,0,0,0,0,0,0,0,4.327144108500531,31,0,0,80,1,0,1,0,1,0,1,0,0,0,0,0,1,39,0,0,75,1,1,2,80,0,16,14,0,25,0,0,benign
53,0,4,31,21,3,2.75,14,14,3,0,0,4,2,0,0,0,0,0,0,0,4.3055793605018,30,0,0,80,1,0,2,0,0,0,1,0,0,1,0,0,0,16,0,0,40,1,1,2,118,0,6,4,0,20,0,0,benign
75,0,3,38,0,15,9.0,29,29,2,0,0,7,2,0,0,0,0,0,0,0,4.4104114850611635,37,8,0,80,1,0,1,0,2,0,1,0,0,0,0,0,0,15,0,0,36,1,1,1,39,0,10,2,0,3,0,0,benign
20,0,2,1,0,7,5.0,11,11,1,0,0,3,0,0,0,0,0,0,0,0,3.684183719779189,13,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,395,1,1,0,199,0,284,2,0,61,0,0,benign
49,0,3,14,13,11,6.333333333333333,21,21,3,0,1,3,0,0,0,0,0,6,1,0,4.331161823919675,24,4,0,80,0,0,1,0,0,0,2,1,0,0,0,0,0,7,0,0,179,1,1,3,170,0,73,7,0,3,0,0,benign
85,0,3,63,10,7,4.0,14,14,3,0,0,7,5,0,0,0,0,0,0,0,4.225403625857876,44,0,0,80,1,0,1,0,2,0,1,0,0,1,0,0,0,26,0,0,57,1,1,1,77,0,12,7,0,2,0,0,benign
70,0,3,47,0,7,4.333333333333333,15,15,2,0,0,7,3,0,0,0,0,0,0,0,4.448357975191422,34,8,0,80,1,0,1,0,1,0,1,0,0,1,0,0,2,52,0,0,258,1,1,2,174,0,79,4,0,30,0,0,benign
32,0,3,1,0,15,7.0,23,23,2,0,0,3,0,0,0,0,0,0,0,0,3.890319531114783,20,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,1,50,0,0,633,1,1,4,366,0,115,14,0,156,0,0,benign
22,0,2,1,0,10,6.5,14,14,1,0,0,3,0,0,0,0,0,0,0,0,3.7544418457133455,13,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,12,1,1,0,13,0,4,0,0,4,0,0,benign
56,0,3,31,5,9,5.0,17,17,2,0,0,5,2,0,0,0,0,0,0,0,4.194625192081275,33,0,0,80,1,0,1,0,1,0,1,0,0,1,0,0,1,13,0,0,477,1,1,1,123,0,320,2,0,37,0,0,benign
