url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
46,0,3,11,10,13,8.333333333333334,27,27,3,0,0,3,0,0,0,0,0,0,0,0,4.156304282370468,28,0,0,80,1,0,1,1,0,0,1,0,0,0,0,0,1,20,0,0,28,1,1,1,15,0,4,2,0,8,0,0,malicious
34,0,2,1,0,21,12.0,25,25,1,0,0,3,0,0,0,0,0,0,0,0,4.101881223476018,19,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
225,0,5,184,10,10,6.0,34,34,5,0,2,19,0,0,0,0,0,0,0,0,4.770104574211134,103,41,0,80,0,0,3,0,2,0,1,0,0,0,0,0,1,10,0,0,125,1,1,6,22,0,7,17,0,2,0,2,malicious
41,1,3,10,9,15,7.0,23,23,3,0,0,3,1,0,0,0,0,0,0,0,4.301839504248711,25,0,0,80,1,0,1,1,0,0,1,0,0,1,1,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
33,1,3,10,9,8,4.333333333333333,15,15,3,0,0,3,1,0,0,0,0,0,0,0,4.150158513166728,18,0,0,80,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
88,0,3,16,15,4,3.0,11,11,3,0,0,3,0,0,0,0,0,53,1,0,5.265583322887733,69,2,0,80,0,0,1,0,2,0,2,0,0,0,0,0,0,3,0,0,9,1,1,0,2,0,0,0,0,0,0,0,malicious
199,0,2,173,0,14,8.5,18,18,1,0,0,11,4,0,0,0,0,0,0,0,5.383926501156479,126,25,0,80,1,0,0,1,2,0,1,0,0,0,0,0,0,16,0,0,30,1,1,1,9,0,7,3,0,2,0,0,malicious
54,1,3,13,0,18,10.666666666666666,34,34,11,0,0,4,1,0,0,0,0,0,0,0,4.0914025889074015,23,0,0,80,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,malicious
49,0,2,26,0,12,7.0,15,15,1,0,0,6,0,0,0,0,0,0,0,0,4.443606211763083,26,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,50,1,1,1,8,0,4,5,0,2,0,0,malicious
33,0,3,1,0,15,7.333333333333333,24,24,2,0,0,3,0,0,0,0,0,0,0,0,4.12728313431329,20,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,11,1,1,1,2,0,1,5,0,1,0,0,malicious
